"","Index","Title","Artist","Top.Genre","Year","BPM","Energy","Danceability","Loudness","Liveness","Valence","Duration","Acousticness","Speechiness","Popularity"
"1",1,"Sunrise","Norah Jones","adult standards","2004",157,30,53,-14,11,68,81,94,3,71
"2",2,"Black Night","Deep Purple","album rock","2000",135,79,50,-11,17,81,87,17,7,39
"3",3,"Clint Eastwood","Gorillaz","alternative hip hop","2001",168,69,66,-9,7,52,219,2,17,69
"4",4,"The Pretender","Foo Fighters","alternative metal","2007",173,96,43,-4,3,37,149,0,4,76
"5",5,"Waitin' On A Sunny Day","Bruce Springsteen","classic rock","2002",106,82,58,-5,10,87,136,1,3,59
"6",6,"The Road Ahead (Miles Of The Unknown)","City To City","alternative pop rock","2004",99,46,54,-9,14,14,127,0,2,45
"7",7,"She Will Be Loved","Maroon 5","pop","2002",102,71,71,-6,13,54,137,6,3,74
"8",8,"Knights of Cydonia","Muse","modern rock","2006",137,96,37,-5,12,21,242,0,14,69
"9",9,"Mr. Brightside","The Killers","modern rock","2004",148,92,36,-4,10,23,103,0,8,77
"10",10,"Without Me","Eminem","detroit hip hop","2002",112,67,91,-3,24,66,170,0,7,82
"11",11,"Love Me Tender","Elvis Presley","adult standards","2002",109,5,44,-16,11,31,42,88,4,49
"12",12,"Seven Nation Army","The White Stripes","alternative rock","2003",124,46,74,-8,26,32,112,1,8,74
"13",13,"Als Het Golft","De Dijk","dutch indie","2000",102,88,54,-6,53,59,94,2,3,34
"14",14,"I'm going home","Ten Years After","album rock","2005",117,93,38,-2,81,40,339,18,10,26
"15",15,"Fluorescent Adolescent","Arctic Monkeys","garage rock","2007",112,81,65,-5,14,82,53,0,3,66
"16",16,"Zonder Jou","Paul de Leeuw","dutch cabaret","2006",133,42,42,-10,16,25,116,84,4,48
"17",17,"Speed of Sound","Coldplay","permanent wave","2005",123,90,52,-7,7,36,168,0,6,69
"18",18,"Uninvited","Alanis Morissette","alternative rock","2005",127,54,38,-5,9,19,156,2,3,57
"19",19,"Music","John Miles","classic uk pop","2004",87,31,27,-13,63,12,230,1,3,46
"20",20,"Cry Me a River","Justin Timberlake","dance pop","2002",74,65,62,-7,10,56,168,57,18,74
"21",21,"Fix You","Coldplay","permanent wave","2005",138,42,21,-9,11,12,176,16,3,81
"22",22,"The Cave","Mumford & Sons","modern folk rock","2009",142,51,60,-10,11,35,98,5,4,67
"23",23,"Als De Morgen Is Gekomen","Jan Smit","dutch pop","2006",96,89,63,-6,9,81,56,5,3,55
"24",24,"Somebody Told Me","The Killers","modern rock","2004",138,99,51,-3,12,65,77,0,9,69
"25",25,"Dichterbij Dan Ooit","BLØF","dutch pop","2002",112,74,65,-7,23,52,141,18,3,16
"26",26,"Miracle","Ilse DeLange","dutch americana","2008",130,48,55,-8,10,18,150,48,3,50
"27",27,"Smokers Outside the Hospital Doors","Editors","alternative dance","2007",123,68,53,-4,12,55,178,0,4,56
"28",28,"Cleanin' Out My Closet","Eminem","detroit hip hop","2002",148,76,91,-5,8,87,178,7,17,71
"29",29,"Der Weg","Herbert Grönemeyer","german pop","2008",142,24,34,-11,12,19,139,92,4,48
"30",30,"7 Seconds (feat. Neneh Cherry)","Youssou N'Dour","afropop","2004",154,70,68,-10,33,51,186,8,3,59
"31",31,"The Scientist","Coldplay","permanent wave","2002",146,44,56,-7,11,21,189,73,2,84
"32",32,"Big Log - 2006 Remaster","Robert Plant","album rock","2007",181,59,56,-9,20,68,186,32,3,57
"33",33,"Chasing Pavements","Adele","british soul","2008",80,47,62,-6,11,33,91,31,3,63
"34",34,"Don't Know Why","Norah Jones","adult standards","2002",88,20,73,-12,7,62,66,88,3,74
"35",35,"Tears Dry On Their Own","Amy Winehouse","british soul","2006",122,87,64,-3,29,45,65,49,12,72
"36",36,"The Eyes of Jenny","Sandy Coast","classic uk pop","2009",119,53,68,-12,8,68,144,34,4,44
"37",37,"Iris","The Goo Goo Dolls","alternative rock","2007",156,79,29,-6,8,51,170,0,4,75
"38",38,"The Saints Are Coming","U2","irish rock","2006",152,81,32,-7,15,12,82,8,5,40
"39",39,"All My Life","Foo Fighters","alternative metal","2002",168,60,58,-6,48,65,143,0,5,72
